matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_xgb,pred_points_catboost,pred_points_rf,pred_points_movingaverage,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
829733,MG Johnson,Bowler,Kings XI Punjab,9,22.0,29.212534,27.28887962034134,30.393678028594763,40.0,40.0,7.0,1.0,,
829733,MK Pandey,Batsmen,Kolkata Knight Riders,9,14.0,33.450115,34.99317166706847,33.381166739854706,26.33333333,26.33333333,,,,
829733,NLTC Perera,AllRounder,Kings XI Punjab,9,41.0,34.539642,37.3012944263281,34.46030846712058,39.0,39.0,8.0,1.0,6.0,1.0
829733,PP Chawla,Bowler,Kolkata Knight Riders,9,5.0,28.219206,28.523964528826976,28.293588463035203,7.666666667,7.666666667,,,,
829733,RN ten Doeschate,Batsmen,Kolkata Knight Riders,9,-2.0,20.65116,21.263132654245936,23.647157094589748,16.66666667,16.66666667,,,,
829733,RV Uthappa,Batsmen,Kolkata Knight Riders,9,15.0,44.312916,44.2570301121131,38.93959895279123,50.33333333,50.33333333,4.0,1.0,,
829733,SA Yadav,Batsmen,Kolkata Knight Riders,9,29.0,25.655626,25.19277954329656,26.759121990109243,24.33333333,24.33333333,,,9.0,1.0
829733,SP Narine,Bowler,Kolkata Knight Riders,9,29.0,26.912811,26.293803845372235,29.31385131127637,7.666666667,7.666666667,,,8.0,1.0
829733,Sandeep Sharma,Bowler,Kings XI Punjab,9,174.0,30.39014,29.074801178481795,29.929561106282343,34.33333333,34.33333333,,,1.0,1.0
829733,UT Yadav,Bowler,Kolkata Knight Riders,9,75.0,28.443727,28.114335339966715,28.23706406158212,14.66666667,14.66666667,,,3.0,1.0
829733,V Sehwag,Batsmen,Kings XI Punjab,9,13.0,35.9921,38.83736728215814,35.383418102333195,36.33333333,36.33333333,,,,
829733,WP Saha,Batsmen,Kings XI Punjab,9,19.0,33.243176,35.30243512360125,33.22596745813342,75.0,75.0,0.0,1.0,10.0,1.0
829733,YK Pathan,AllRounder,Kolkata Knight Riders,9,33.0,31.992805,32.22556729007867,32.26448616500564,22.66666667,22.66666667,,,7.0,1.0
829735,A Nehra,Bowler,Chennai Super Kings,9,0.0,31.615688,31.53735915531865,30.53372000544159,26.66666667,26.66666667,,,,
829735,AM Rahane,Batsmen,Rajasthan Royals,9,94.0,35.77149,37.91582999491473,36.85038184969893,66.0,66.0,1.0,1.0,2.0,1.0
829735,Ankit Sharma,Bowler,Rajasthan Royals,9,25.0,29.077866,29.26028914793361,29.044072307734467,49.0,49.0,3.0,1.0,8.0,1.0
829735,BB McCullum,Batsmen,Chennai Super Kings,9,15.0,35.79599,37.51635937077556,35.79129945989403,90.0,90.0,0.0,1.0,10.0,1.0
829735,CH Morris,Bowler,Rajasthan Royals,9,29.0,25.056757,26.049538002610955,26.68676793935389,30.33333333,30.33333333,9.0,1.0,5.0,1.0
829735,DJ Bravo,AllRounder,Chennai Super Kings,9,208.0,41.959774,41.13148423958113,41.68437190900452,50.66666667,50.66666667,2.0,1.0,0.0,1.0
829735,DJ Hooda,Batsmen,Rajasthan Royals,9,-2.0,25.285965,27.277764032716284,26.83056667618239,36.33333333,36.33333333,6.0,1.0,,
829735,DR Smith,AllRounder,Chennai Super Kings,9,47.0,36.97234,37.93674245185624,34.63130743010213,42.66666667,42.66666667,5.0,1.0,3.0,1.0
829735,F du Plessis,Batsmen,Chennai Super Kings,9,1.0,30.518782,30.02821036772201,30.028857511079195,25.0,25.0,,,,
829735,IC Pandey,Bowler,Chennai Super Kings,9,2.0,25.577429,26.245689651636447,26.6829190037423,27.66666667,27.66666667,10.0,1.0,,
829735,JP Faulkner,Bowler,Rajasthan Royals,9,27.0,27.739616,31.562503635040937,29.88395655925061,11.0,11.0,,,6.0,1.0
829735,KK Nair,Batsmen,Rajasthan Royals,9,1.0,28.818386,30.474602201000984,29.363094649785445,11.66666667,11.66666667,,,,
829735,MM Sharma,Bowler,Chennai Super Kings,9,0.0,26.814758,27.271761373442946,28.436287102049143,31.33333333,31.33333333,8.0,1.0,,
829735,MS Dhoni,Batsmen,Chennai Super Kings,9,36.0,27.963753,29.68832505720446,29.9236815867974,25.66666667,25.66666667,,,4.0,1.0
829735,PV Tambe,Bowler,Rajasthan Royals,9,23.0,27.416521,26.9367254959271,27.287908799412502,34.66666667,34.66666667,7.0,1.0,9.0,1.0
829735,R Ashwin,Bowler,Chennai Super Kings,9,-4.0,27.47728,27.24451779584619,26.746201247358613,20.33333333,20.33333333,,,,
829735,RA Jadeja,AllRounder,Chennai Super Kings,9,25.0,29.53195,29.599550916582064,29.546595624882837,3.333333333,3.333333333,,,7.0,1.0
829735,SK Raina,Batsmen,Chennai Super Kings,9,4.0,36.86967,39.25598243255588,36.31735141160874,27.0,27.0,,,,
829735,SPD Smith,Batsmen,Rajasthan Royals,9,6.0,30.391819,32.953464852176765,31.82911010857244,42.66666667,42.66666667,4.0,1.0,,
829735,SR Watson,AllRounder,Rajasthan Royals,9,144.0,32.137283,34.31470505701246,33.51821138867204,2.666666667,2.666666667,,,1.0,1.0
829735,STR Binny,AllRounder,Rajasthan Royals,9,4.0,27.037107,29.956314947230616,28.527029694779785,17.0,17.0,,,,
829737,AB de Villiers,Batsmen,Royal Challengers Bangalore,9,54.0,29.796375,31.522679679308823,32.77063266311669,35.66666667,35.66666667,6.0,1.0,4.0,1.0
829737,AN Ahmed,Bowler,Royal Challengers Bangalore,9,-5.0,27.180305,27.34343332903909,27.75244930601072,20.33333333,20.33333333,,,,
829737,AT Rayudu,Batsmen,Mumbai Indians,9,-2.0,26.531141,27.590548577736868,28.168273073936284,17.0,17.0,,,,
829737,CH Gayle,Batsmen,Royal Challengers Bangalore,9,18.0,35.918907,36.6607386566151,37.68218212976503,60.66666667,60.66666667,2.0,1.0,,
829737,D Wiese,Bowler,Royal Challengers Bangalore,9,330.0,26.214836,26.860652695743077,30.039380987873155,,,,,0.0,1.0
829737,HH Pandya,AllRounder,Mumbai Indians,9,17.0,31.383821,31.73036031397256,30.53283271000373,,,,,10.0,1.0
829737,Harbhajan Singh,Bowler,Mumbai Indians,9,73.0,34.265915,33.19120534599404,39.45460538130195,81.0,81.0,0.0,1.0,3.0,1.0
829737,Iqbal Abdulla,Bowler,Royal Challengers Bangalore,9,28.0,28.419146,30.041874621089963,30.045101492050847,42.33333333,42.33333333,4.0,1.0,8.0,1.0
829737,JJ Bumrah,Bowler,Mumbai Indians,9,25.0,24.569359,25.093150289265857,27.21915014456787,16.0,16.0,,,,
829737,KA Pollard,AllRounder,Mumbai Indians,9,4.0,33.171837,32.076720670993176,36.014915855937105,74.33333333,74.33333333,1.0,1.0,,
829737,KD Karthik,Batsmen,Royal Challengers Bangalore,9,22.0,31.604527,32.47928775112181,32.17850101435453,11.33333333,11.33333333,,,,
829737,LMP Simmons,Batsmen,Mumbai Indians,9,82.0,34.165962,35.48768868401766,34.137546047216944,36.33333333,36.33333333,5.0,1.0,2.0,1.0
829737,MJ McClenaghan,Bowler,Mumbai Indians,9,25.0,26.020071,26.484522252319877,28.91369225656261,,,,,,
829737,MS Bisla,Batsmen,Royal Challengers Bangalore,9,25.0,29.731222,31.220982308832188,31.327829643051896,11.0,11.0,,,9.0,1.0
829737,PA Patel,Batsmen,Mumbai Indians,9,21.0,25.960966,28.04828191390701,28.01354817172092,7.0,7.0,,,,
829737,RG Sharma,Batsmen,Mumbai Indians,9,53.0,32.89386,34.464262344899524,33.039031375535146,20.33333333,20.33333333,10.0,1.0,5.0,1.0
