matchid,pred_points_player,actual_points_player,pred_selection_cnt,error,rewards_earned
729313,407.0,636.0,10.0,,0.0
729315,180.0,642.5,10.0,,0.0
729317,390.5,743.5,10.0,,0.0
733971,549.5,701.5,10.0,,0.0
733973,396.0,622.0,10.0,,0.0
733975,202.0,561.0,10.0,,0.0
733977,357.5,740.5,10.0,,0.0
733979,696.5,794.5,10.0,,0.0
733981,448.0,620.5,10.0,,0.0
733983,370.5,613.5,10.0,,0.0
733985,485.0,579.0,10.0,,0.0
733987,309.0,758.5,10.0,,0.0
733989,480.0,717.0,10.0,,0.0
733991,595.0,729.0,10.0,,0.0
733993,225.0,451.0,10.0,,0.0
733995,304.0,618.0,10.0,,0.0
733997,459.0,633.0,10.0,,0.0
733999,265.5,937.5,10.0,,0.0
734001,399.0,639.5,10.0,,0.0
734003,363.5,654.5,10.0,,0.0
734005,497.0,620.0,10.0,,0.0
734007,253.5,703.5,10.0,,0.0
734009,553.0,613.0,10.0,,0.0
734011,332.0,700.0,10.0,,0.0
734013,342.0,631.0,10.0,,0.0
734015,259.0,525.0,10.0,,0.0
734017,488.0,665.5,10.0,,0.0
734019,296.0,792.5,10.0,,0.0
734021,363.0,615.0,10.0,,0.0
734023,477.5,568.5,10.0,,0.0
734025,467.0,659.0,10.0,,0.0
734027,581.5,707.5,10.0,,0.0
734029,575.0,700.0,10.0,,0.0
734031,413.5,635.5,10.0,,0.0
734033,446.5,574.5,10.0,,0.0
734035,478.0,644.5,10.0,,0.0
734037,550.5,690.5,10.0,,0.0
734039,419.0,623.0,10.0,,0.0
734041,379.0,724.0,10.0,,0.0
734043,266.0,668.0,10.0,,0.0
734045,546.0,680.5,10.0,,0.0
734047,396.0,872.0,10.0,,0.0
734049,339.0,943.5,10.0,,0.0
829705,509.0,720.0,10.0,,0.0
829707,319.0,658.5,10.0,,0.0
829709,416.0,746.0,10.0,,0.0
829711,385.0,753.0,10.0,,0.0
829713,595.0,711.0,10.0,,0.0
829715,475.0,756.0,10.0,,0.0
829717,587.0,797.5,10.0,,0.0
829719,483.0,710.5,10.0,,0.0
829721,381.0,628.0,10.0,,0.0
829723,176.0,783.0,10.0,,0.0
829725,317.0,706.5,10.0,,0.0
829727,378.0,569.0,10.0,,0.0
829729,520.0,825.5,10.0,,0.0
829731,572.0,770.0,10.0,,0.0
829733,455.0,819.0,10.0,,0.0
829735,445.0,650.0,10.0,,0.0
829737,362.0,847.5,10.0,,0.0
829739,413.0,580.0,10.0,,0.0
829741,553.5,682.5,10.0,,0.0
829743,533.5,627.5,10.0,,0.0
829745,681.0,760.0,10.0,,0.0
829747,631.5,759.5,10.0,,0.0
829749,521.5,605.5,10.0,,0.0
829751,465.0,764.0,10.0,,0.0
829753,179.0,684.5,10.0,,0.0
829757,440.5,596.5,10.0,,0.0
829759,427.5,650.5,10.0,,0.0
829761,289.0,646.5,10.0,,0.0
829763,286.0,456.5,10.0,,0.0
829765,433.0,586.5,10.0,,0.0
829767,219.0,652.0,10.0,,0.0
829769,363.5,632.5,10.0,,0.0
829771,338.0,451.5,10.0,,0.0
829773,562.5,708.5,10.0,,0.0
829775,450.5,568.5,10.0,,0.0
829777,486.0,769.0,10.0,,0.0
829779,520.5,713.5,10.0,,0.0
829781,374.0,644.0,10.0,,0.0
829783,274.0,629.0,10.0,,0.0
829785,819.0,907.0,10.0,,0.0
829787,282.0,749.0,10.0,,0.0
829789,384.5,488.5,10.0,,0.0
829791,329.5,735.5,10.0,,0.0
829793,413.0,653.5,10.0,,0.0
829795,385.5,888.5,10.0,,0.0
829797,215.0,776.5,10.0,,0.0
829799,602.5,767.5,10.0,,0.0
829801,232.0,612.0,10.0,,0.0
829803,339.0,478.0,10.0,,0.0
829805,251.0,611.5,10.0,,0.0
829807,511.0,598.0,10.0,,0.0
829809,234.0,520.0,10.0,,0.0
829811,721.0,1006.5,10.0,,0.0
829813,167.0,493.0,10.0,,0.0
829815,341.5,600.5,10.0,,0.0
829817,647.5,746.5,10.0,,0.0
