date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,105,17.3,4,0,0,Nan,MM Ali,4,LH Ferguson,F du Plessis,160,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,106,17.4,1,0,0,Nan,MM Ali,1,LH Ferguson,F du Plessis,161,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,106,17.4,1,1,1,Nan,F du Plessis,1,LH Ferguson,MM Ali,162,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,107,17.5,6,0,0,Nan,F du Plessis,6,LH Ferguson,MM Ali,168,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,108,17.6,4,0,0,Nan,F du Plessis,4,LH Ferguson,MM Ali,172,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,109,18.1,0,0,0,Nan,MM Ali,0,Varun Chakravarthy,F du Plessis,172,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,110,18.2,4,0,0,Nan,MM Ali,4,Varun Chakravarthy,F du Plessis,176,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,111,18.3,1,0,0,Nan,MM Ali,1,Varun Chakravarthy,F du Plessis,177,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,112,18.4,1,0,0,Nan,F du Plessis,1,Varun Chakravarthy,MM Ali,178,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,113,18.5,6,0,0,Nan,MM Ali,6,Varun Chakravarthy,F du Plessis,184,False,,,Chennai Super Kings,Kolkata Knight Riders
