matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254101,SO Hetmyer,30.0,22.0,22.0,2.0,2.0,0.0,1st innings,Delhi Capitals,Royal Challengers Bangalore,,,,,,,,,,Batsmen,30.0,4.0,2.0,0,36.0,,0,,0,,36.0
1254101,SS Iyer,19.0,19.0,18.0,,1.0,0.0,1st innings,Delhi Capitals,Royal Challengers Bangalore,,,,,,,,,,Batsmen,19.0,,1.0,0,20.0,,0,,0,,20.0
1254101,Srikar Bharat,82.0,56.0,53.0,4.0,3.0,0.0,2nd innings,Royal Challengers Bangalore,Delhi Capitals,,,,,,,,,,Batsmen,82.0,8.0,3.0,8,101.0,,0,,0,,101.0
1254101,V Kohli,5.0,8.0,8.0,,,0.0,2nd innings,Royal Challengers Bangalore,Delhi Capitals,,,,,,,,,,Batsmen,5.0,,,0,5.0,,0,,0,,5.0
1254106,A Rawat,0.0,1.0,1.0,,,4.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1254106,CH Morris,0.0,2.0,2.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,27.0,24.0,34.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.5,Bowler,0.0,,,-2,-2.0,25.0,0,0.0,0,25.0,23.0
1254106,Chetan Sakariya,2.0,5.0,5.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,24.0,24.0,24.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.0,AllRounder,2.0,,,0,2.0,25.0,2,0.0,0,27.0,29.0
1254106,EJG Morgan,22.0,12.0,12.0,1.0,2.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,22.0,2.0,2.0,0,26.0,,0,,0,,26.0
1254106,Glenn Phillips,8.0,12.0,12.0,1.0,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,7.0,6.0,17.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,17.0,Batsmen,8.0,2.0,,0,10.0,25.0,-6,0.0,0,19.0,29.0
1254106,JD Unadkat,6.0,5.0,5.0,,1.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,25.0,24.0,35.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.75,Bowler,6.0,,1.0,0,7.0,,0,0.0,0,0.0,7.0
1254106,KD Karthik,14.0,11.0,11.0,1.0,,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,14.0,2.0,,0,16.0,,0,,0,,16.0
1254106,Liam Livingstone,6.0,6.0,6.0,,1.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,6.0,,1.0,0,7.0,,0,,0,,7.0
1254106,Mustafizur Rahman,0.0,3.0,3.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,25.0,24.0,32.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.0,Bowler,0.0,,,-2,-2.0,,0,0.0,0,0.0,-2.0
1254106,N Rana,12.0,5.0,5.0,1.0,1.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,12.0,2.0,1.0,0,15.0,,0,,0,,15.0
