matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1216503,R Bishnoi,1.0,5.0,5.0,,,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,25.0,25.0,37.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,8.88,Bowler,1.0,,,0,1.0,,0,0.0,0,0.0,1.0
1216503,RG Sharma,73.0,47.0,47.0,3.0,8.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,,,,,,,,,,Batsmen,73.0,6.0,8.0,8,95.0,,0,,0,,95.0
1216503,SA Yadav,10.0,7.0,7.0,,2.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,,,,,,,,,,Batsmen,10.0,,2.0,0,12.0,,0,,0,,12.0
1216503,SN Khan,8.0,8.0,8.0,,1.0,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,,,,,,,,,Batsmen,8.0,,1.0,0,9.0,,0,,0,,9.0
1216504,AD Russell,25.0,15.0,15.0,3.0,,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,AllRounder,25.0,6.0,,0,31.0,,0,,0,,31.0
1216504,AS Rajpoot,7.0,5.0,5.0,1.0,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,28.0,26.0,41.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,9.461538461538462,Bowler,7.0,2.0,,0,9.0,25.0,-2,0.0,0,23.0,32.0
1216504,EJG Morgan,40.0,28.0,24.0,2.0,1.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,40.0,4.0,1.0,0,45.0,,0,,0,,45.0
1216504,JC Archer,6.0,4.0,4.0,1.0,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,2.0,24.0,24.0,18.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,4.5,AllRounder,6.0,2.0,,0,8.0,50.0,4,0.0,0,54.0,62.0
1216504,JC Buttler,25.0,17.0,16.0,2.0,1.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,25.0,4.0,1.0,0,30.0,,0,,0,,30.0
1216504,JD Unadkat,10.0,13.0,13.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,12.0,12.0,15.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.5,Bowler,10.0,,,0,10.0,25.0,0,0.0,0,25.0,35.0
1216504,KD Karthik,1.0,3.0,3.0,,,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,1.0,,,0,1.0,,0,,0,,1.0
1216504,Kamlesh Nagarkoti,8.0,5.0,5.0,,1.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,2.0,12.0,12.0,13.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,6.5,Bowler,8.0,,1.0,0,9.0,50.0,0,0.0,0,50.0,59.0
1216504,N Rana,22.0,17.0,17.0,1.0,2.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,22.0,2.0,2.0,0,26.0,,0,,0,,26.0
1216504,PJ Cummins,12.0,10.0,10.0,,1.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.0,18.0,18.0,15.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,5.0,AllRounder,12.0,,1.0,0,13.0,25.0,4,0.0,0,29.0,42.0
1216504,R Parag,1.0,6.0,6.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,6.0,6.0,14.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,14.0,Batsmen,1.0,,,0,1.0,,-6,0.0,0,-6.0,-5.0
1216504,R Tewatia,14.0,10.0,10.0,1.0,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,6.0,6.0,6.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.0,AllRounder,14.0,2.0,,0,16.0,25.0,2,0.0,0,27.0,43.0
1216504,RV Uthappa,2.0,7.0,7.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,2.0,,,0,2.0,,0,,0,,2.0
1216504,S Gopal,5.0,7.0,7.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,24.0,24.0,43.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,10.75,Bowler,5.0,,,0,5.0,,-4,0.0,0,-4.0,1.0
1216504,SP Narine,18.0,15.0,15.0,1.0,2.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.0,25.0,24.0,42.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,10.5,Bowler,18.0,2.0,2.0,0,22.0,25.0,-4,0.0,0,21.0,43.0
1216504,SPD Smith,5.0,7.0,7.0,,,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,5.0,,,0,5.0,,0,,0,,5.0
1216504,SV Samson,8.0,9.0,9.0,,1.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,,,,,,,,,,Batsmen,8.0,,1.0,0,9.0,,0,,0,,9.0
1216504,Shubman Gill,48.0,35.0,35.0,1.0,5.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,Batsmen,48.0,2.0,5.0,0,55.0,,0,,0,,55.0
1216504,TK Curran,54.0,36.0,36.0,3.0,2.0,0.0,2nd innings,Rajasthan Royals,Kolkata Knight Riders,1.0,28.0,25.0,37.0,0.0,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.88,AllRounder,54.0,6.0,2.0,8,70.0,25.0,0,0.0,0,25.0,95.0
1216508,AD Russell,26.0,22.0,11.0,,4.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,2.0,24.0,12.0,34.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,17.0,AllRounder,26.0,,4.0,0,30.0,50.0,-6,0.0,0,44.0,74.0
1216508,EJG Morgan,32.0,40.0,20.0,2.0,2.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,,,,,,,,,Batsmen,32.0,4.0,2.0,0,38.0,,0,,0,,38.0
1216508,HH Pandya,36.0,26.0,13.0,2.0,4.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,,,,,,,,,,Batsmen,36.0,4.0,4.0,0,44.0,,0,,0,,44.0
1216508,KA Pollard,28.0,16.0,8.0,,2.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,2.0,38.0,19.0,42.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,13.263157894736842,AllRounder,28.0,,2.0,0,30.0,50.0,-6,0.0,0,44.0,74.0
1216508,KD Karthik,60.0,46.0,23.0,,10.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,,,,,,,,,Batsmen,60.0,,10.0,8,78.0,,0,,0,,78.0
1216508,KH Pandya,4.0,6.0,3.0,,,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,,12.0,6.0,20.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,20.0,AllRounder,4.0,,,0,4.0,,-6,0.0,0,-6.0,-2.0
1216508,Kuldeep Yadav,2.0,4.0,2.0,,,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,52.0,24.0,80.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,20.0,Bowler,2.0,,,0,2.0,,-6,0.0,0,-6.0,-4.0
1216508,N Rana,50.0,38.0,19.0,2.0,4.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,,,,,,,,,Batsmen,50.0,4.0,4.0,8,66.0,,0,,0,,66.0
1216508,NS Naik,2.0,6.0,3.0,,,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,,,,,,,,,Batsmen,2.0,,,0,2.0,,0,,0,,2.0
1216508,PJ Cummins,70.0,28.0,13.0,8.0,2.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,,42.0,20.0,98.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,29.4,AllRounder,70.0,16.0,2.0,8,96.0,,-6,0.0,0,-6.0,90.0
1216508,Q de Kock,2.0,6.0,3.0,,,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,,,,,,,,,,Batsmen,2.0,,,0,2.0,,0,,0,,2.0
1216508,RG Sharma,180.0,124.0,59.0,12.0,6.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,,,,,,,,,,Batsmen,180.0,24.0,6.0,24,234.0,,0,,0,,234.0
1216508,SA Yadav,96.0,56.0,28.0,2.0,12.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,,,,,,,,,,Batsmen,96.0,4.0,12.0,8,120.0,,0,,0,,120.0
1216508,SP Narine,18.0,20.0,10.0,2.0,,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,2.0,48.0,24.0,44.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,11.0,Bowler,18.0,4.0,,0,22.0,50.0,-6,0.0,0,44.0,66.0
1216508,SS Tiwary,44.0,28.0,14.0,2.0,2.0,0.0,1st innings,Mumbai Indians,Kolkata Knight Riders,,,,,,,,,,Batsmen,44.0,4.0,2.0,0,50.0,,0,,0,,50.0
1216508,Shivam Mavi,18.0,20.0,10.0,,2.0,0.0,2nd innings,Kolkata Knight Riders,Mumbai Indians,4.0,54.0,25.0,66.0,1.0,1st innings,Mumbai Indians,Kolkata Knight Riders,15.84,Bowler,18.0,,2.0,0,20.0,100.0,-6,8.0,8,110.0,130.0
